section,lesson,lesson_description,word,is_sight_word,phonetic_symbol,letter_combination,source
3,31,Words with the Short-A Vowel Sound; Sight Word: I,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,sat,F,/ă/,,OPG_Revised_Instructor.pdf
3,31,Words with the Short-A Vowel Sound; Sight Word: I,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,red,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,bed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,fed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,led,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,wed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,Ted,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,tan,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,cat,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,ham,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,pet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,get,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,bet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,let,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,set,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,met,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,net,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,jet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,wet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,yet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,mat,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,sad,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,can,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,pat,F,/ă/,,OPG_Revised_Instructor.pdf
3,32,Words with the Short-E Vowel Sound,fat,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,pet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,get,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,bet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,let,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,set,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,met,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,net,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,jet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,wet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,yet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,hen,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,pen,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,ten,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,Ken,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,Ben,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,fed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,fat,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,at,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,tan,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,red,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,van,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,ran,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,Dad,F,/ă/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,33,Words with the Short-E Vowel Sound,yes,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,in,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,pin,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,tin,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,win,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,fin,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,it,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,sit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,fit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,hit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,bit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,pit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,kit,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,Ken,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,the,T,/ē/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,Ben,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,had,F,/ă/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,sad,F,/ă/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,wet,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,cat,F,/ă/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,Sam,F,/ă/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,let,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,den,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,and,F,/ă/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,fed,F,/ĕ/,,OPG_Revised_Instructor.pdf
3,34,Words with the Short-I Vowel Sound,ham,F,/ă/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,if,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,fib,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,bib,F,/ĭ/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,I,T,/ī/,,OPG_Revised_Instructor.pdf
3,35,Words with the Short-I Vowel Sound,am,F,/ă/,,OPG_Revised_Instructor.pdf
